1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
0 0 40 0 16 35 0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 63 0 0
0 0 0 0 0 0 0 0 0 0 0 80 10 23 0 9 0 0 0 0 0 0 0 0 0
40 0 0 0 0 73 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 82 64 0 96 0 0 99 48 0 0 0 0 0 0 0 0
16 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 63 0 0
35 0 73 0 0 0 0 0 72 0 44 40 0 0 0 0 0 0 0 0 0 0 92 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 48 0 0 0 0 0 0 19
0 0 0 0 0 0 0 0 0 42 85 0 0 0 0 0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 72 0 0 0 0 44 0 0 62 0 0 32 0 0 0 0 0 0 16 0
0 0 0 82 0 0 0 42 0 0 0 0 82 0 0 0 82 0 0 0 58 0 17 0 0
0 0 0 64 0 44 0 85 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 8
0 80 0 0 7 40 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 91 0 18 0
0 10 0 96 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 23 0 0 0 0 0 0 62 0 0 0 0 0 90 0 0 0 0 0 0 0 22 0 0
0 0 35 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0
0 9 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 48 0 0 35 0 32 82 0 0 0 0 0 0 0 0 0 0 0 94 0 0 0
0 0 0 0 0 0 48 0 0 0 0 11 0 0 0 0 0 0 0 54 0 51 0 0 0
82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 94 0 47 0 0 0 0
0 0 0 0 0 0 0 2 0 58 0 0 0 0 0 0 0 0 0 47 0 58 0 0 0
0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 94 51 0 0 58 0 0 0 0
63 0 0 0 63 92 0 0 0 17 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 16 0 10 18 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 19 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 21 0
