1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
0 0 0 0 0 0 0 0 0 0 0 0 0 62 21 0 0 0 0 0 
0 0 33 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
0 33 0 0 0 0 0 0 0 79 0 0 79 71 0 0 0 64 0 0 
0 0 0 0 0 0 46 0 12 0 0 0 0 0 0 0 0 0 61 0 
0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 65 0 0 
0 23 0 0 44 0 0 42 0 0 0 0 0 0 0 0 0 0 76 0 
0 0 0 46 0 0 0 0 90 0 24 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 42 0 0 0 13 0 47 0 56 0 87 0 0 0 0 
0 0 0 12 0 0 90 0 0 0 0 0 0 0 96 0 0 0 0 20 
0 0 79 0 0 0 0 13 0 0 48 0 76 0 0 0 0 0 15 0 
0 0 0 0 0 0 24 0 0 48 0 0 0 0 88 0 51 0 0 0 
0 0 0 0 0 0 0 47 0 0 0 0 0 0 91 0 0 93 0 4 
0 0 79 0 0 0 0 0 0 76 0 0 0 20 0 0 0 0 0 0 
62 0 71 0 0 0 0 56 0 0 0 0 20 0 0 0 52 0 0 0 
21 0 0 0 0 0 0 0 96 0 88 91 0 0 0 9 0 0 0 28 
0 0 0 0 0 0 0 87 0 0 0 0 0 0 9 0 0 65 0 0 
0 0 0 0 0 0 0 0 0 0 51 0 0 52 0 0 0 0 0 0 
0 0 64 0 65 0 0 0 0 0 0 93 0 0 0 65 0 0 0 0 
0 0 0 61 0 76 0 0 0 15 0 0 0 0 0 0 0 0 0 0 
0 5 0 0 0 0 0 0 20 0 0 4 0 0 28 0 0 0 0 0 
