1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
0 98 13 51 13 88 78 54 5 31 5 14 84 60 99 97 29 49 70 63 38 98 99 44 16 24 96 3 49 15
98 0 92 3 46 86 2 21 53 75 12 40 37 24 86 66 18 36 14 31 54 58 7 59 52 12 40 96 71 27
13 92 0 93 32 52 94 62 64 2 16 36 41 88 51 68 79 72 82 33 39 37 6 91 85 53 12 44 16 67
51 3 93 0 23 16 71 56 69 79 87 66 44 60 98 74 34 97 35 26 11 36 69 27 28 23 43 94 97 32
13 46 32 23 0 16 28 36 6 61 5 13 71 27 31 43 98 58 4 9 18 75 10 75 37 6 18 18 1 31
88 86 52 16 16 0 90 21 13 85 24 69 86 98 1 82 41 71 28 76 16 32 88 98 45 24 31 77 89 24
78 2 94 71 28 90 0 2 69 81 57 72 87 53 93 66 95 40 6 76 90 34 19 2 81 45 25 74 30 6
54 21 62 56 36 21 2 0 34 37 25 40 14 13 70 65 60 54 17 31 45 45 43 15 34 67 34 67 28 42
5 53 64 69 6 13 69 34 0 83 59 78 64 66 39 79 18 83 53 28 67 32 62 90 14 93 92 8 40 66
31 75 2 79 61 85 81 37 83 0 61 19 25 35 25 93 96 75 25 24 35 99 69 96 45 53 62 26 47 38
5 12 16 87 5 24 57 25 59 61 0 76 48 50 19 61 88 8 29 5 95 98 46 72 61 6 51 40 99 7
14 40 36 66 13 69 72 40 78 19 76 0 8 86 30 76 71 24 57 58 61 37 41 1 13 57 47 82 18 18
84 37 41 44 71 86 87 14 64 25 48 8 0 92 4 64 82 26 22 37 61 83 23 29 80 95 67 25 33 80
60 24 88 60 27 98 53 13 66 35 50 86 92 0 23 47 98 61 68 24 14 25 56 76 44 93 96 57 35 56
99 86 51 98 31 1 93 70 39 25 19 30 4 23 0 95 42 63 97 34 99 47 88 5 21 59 47 17 35 48
97 66 68 74 43 82 66 65 79 93 61 76 64 47 95 0 62 1 43 9 24 14 64 36 97 22 32 29 48 16
29 18 79 34 98 41 95 60 18 96 88 71 82 98 42 62 0 52 50 23 2 36 49 79 51 32 68 18 32 27
49 36 72 97 58 71 40 54 83 75 8 24 26 61 63 1 52 0 22 5 33 82 23 16 32 28 28 14 11 39
70 14 82 35 4 28 6 17 53 25 29 57 22 68 97 43 50 22 0 1 79 37 39 46 54 51 83 32 85 83
63 31 33 26 9 76 76 31 28 24 5 58 37 24 34 9 23 5 1 0 32 52 75 3 16 83 79 19 70 37
38 54 39 11 18 16 90 45 67 35 95 61 61 14 99 24 2 33 79 32 0 9 20 7 36 94 78 22 58 4
98 58 37 36 75 32 34 45 32 99 98 37 83 25 47 14 36 82 37 52 9 0 71 96 1 11 79 15 38 94
99 7 6 69 10 88 19 43 62 69 46 41 23 56 88 64 49 23 39 75 20 71 0 1 18 14 77 61 90 11
44 59 91 27 75 98 2 15 90 96 72 1 29 76 5 36 79 16 46 3 7 96 1 0 13 28 97 18 95 86
16 52 85 28 37 45 81 34 14 45 61 13 80 44 21 97 51 32 54 16 36 1 18 13 0 84 99 35 98 29
24 12 53 23 6 24 45 67 93 53 6 57 95 93 59 22 32 28 51 83 94 11 14 28 84 0 12 63 14 4
96 40 12 43 18 31 25 34 92 62 51 47 67 96 47 32 68 28 83 79 78 79 77 97 99 12 0 95 4 6
3 96 44 94 18 77 74 67 8 26 40 82 25 57 17 29 18 14 32 19 22 15 61 18 35 63 95 0 17 29
49 71 16 97 1 89 30 28 40 47 99 18 33 35 35 48 32 11 85 70 58 38 90 95 98 14 4 17 0 75
15 27 67 32 31 24 6 42 66 38 7 18 80 56 48 16 27 39 83 37 4 94 11 86 29 4 6 29 75 0
